Name,National_Count,NYC_Count,NYC % of National
Marcos,3412,28,0.821%
Marcus,10616,141,1.328%
Margaret,7174,58,0.808%
Margaux,325,12,3.692%
Margot,1060,35,3.302%
Maria,11809,145,1.228%
Mariah,10988,50,0.455%
Mariam,1874,129,6.884%
Mariama,246,36,14.634%
Mariana,4035,32,0.793%
Marielle,380,11,2.895%
Marilyn,2898,33,1.139%
Mario,5807,16,0.276%
Marjorie,910,30,3.297%
Mark,8992,126,1.401%
Marlon,1347,10,0.742%
Martin,5423,57,1.051%
Marvin,2264,20,0.883%
Mary,10520,28,0.266%
Maryam,1685,64,3.798%
Mason,73497,666,0.906%
Massimo,447,12,2.685%
Mateo,12328,144,1.168%
Mathew,2636,18,0.683%
Mathias,1548,30,1.938%
Matias,1919,52,2.710%
Matilda,1735,18,1.037%
Matteo,3086,66,2.139%
Matthew,54257,599,1.104%
Mauricio,2173,10,0.460%
Max,14671,204,1.390%
Maxim,1311,52,3.966%
Maximilian,2555,81,3.170%
Maximiliano,4020,14,0.348%
Maximo,979,10,1.021%
Maximus,7533,64,0.850%
Maxwell,13668,147,1.076%
Maya,15706,353,2.248%
Mayer,216,28,12.963%
Mayson,1368,11,0.804%
Md,87,11,12.644%
Megan,5764,46,0.798%
Meilech,55,25,45.455%
Meir,492,106,21.545%
Mekhi,2062,40,1.940%
Melanie,13902,225,1.618%
Melany,2669,65,2.435%
Melina,1906,34,1.784%
Melissa,6556,71,1.083%
Melody,7232,109,1.507%
Melvin,1544,11,0.712%
Menachem,713,72,10.098%
Menashe,68,12,17.647%
Mendel,253,76,30.040%
Mendy,111,28,25.225%
Menucha,95,13,13.684%
Messiah,3464,109,3.147%
Meyer,260,15,5.769%
Mia,50109,261,0.521%
Micah,15928,67,0.421%
Michael,63736,336,0.527%
Michaela,2888,13,0.450%
Michal,291,10,3.436%
Michelle,7734,142,1.836%
Miguel,11724,149,1.271%
Mikaela,2149,11,0.512%
Mikayla,5076,14,0.276%
Mike,935,11,1.176%
Mila,12152,129,1.062%
Milan,3285,122,3.714%
Milana,1233,38,3.082%
Miles,13710,156,1.138%
Miley,3066,13,0.424%
Milo,4054,20,0.493%
Mina,1502,25,1.664%
Mindy,408,24,5.882%
Mira,1671,13,0.778%
Miracle,2890,19,0.657%
Miranda,5680,56,0.986%
Mirel,95,33,34.737%
Miriam,4129,160,3.875%
Misael,1124,10,0.890%
Mohamed,2616,171,6.537%
Mohammad,1736,129,7.431%
Mohammed,1945,117,6.015%
Moises,2401,28,1.166%
Moishe,109,36,33.028%
Molly,12535,68,0.542%
Monica,2663,12,0.451%
Monserrat,1185,10,0.844%
Montserrat,1143,15,1.312%
Mordche,39,10,25.641%
Mordechai,741,92,12.416%
Morgan,14829,93,0.627%
Morris,382,11,2.880%
Moses,2148,31,1.443%
Moshe,1971,262,13.293%
Mouhamed,125,22,17.600%
Moussa,154,35,22.727%
Muhammad,2593,162,6.248%
Musa,650,21,3.231%
Mushka,58,24,41.379%
Mya,10441,75,0.718%
Myles,6442,42,0.652%
Nachman,89,11,12.360%
Nadia,4375,35,0.800%
Naftali,193,50,25.907%
Naftuli,84,29,34.524%
Nahla,1041,25,2.402%
Naomi,13703,254,1.854%
Nashla,119,19,15.966%
Nashley,96,10,10.417%
Nasir,1926,27,1.402%
Natalia,10788,73,0.677%
Natalie,31057,110,0.354%
Natasha,2098,15,0.715%
Nathalie,2016,44,2.183%
Nathaly,1361,35,2.572%
Nathan,39507,377,0.954%
Nathaniel,18514,335,1.809%
Nayeli,3248,30,0.924%
Nazir,456,10,2.193%
Nechama,402,29,7.214%
Neil,1537,13,0.846%
Nelson,1765,28,1.586%
Nevaeh,20403,111,0.544%
Neymar,1406,16,1.138%
Nia,2507,65,2.593%
Nicholas,30171,254,0.842%
Nico,2358,23,0.975%
Nicolas,8549,172,2.012%
Nicole,11165,288,2.579%
Nikita,772,11,1.425%
Nina,4330,101,2.333%
Noa,1288,49,3.804%
Noah,71804,462,0.643%
Noam,427,21,4.918%
Noel,3627,87,2.399%
Noelle,4296,13,0.303%
Noemi,1580,13,0.823%
Nolan,18564,78,0.420%
Noor,1045,13,1.244%
Nora,13334,123,0.922%
Norah,6430,15,0.233%
Nosson,176,11,6.250%
Nova,2721,11,0.404%
Nyah,727,10,1.376%
Nyla,4048,104,2.569%
Nylah,2821,92,3.261%
Olive,3859,38,0.985%
Oliver,27968,155,0.554%
Olivia,72692,393,0.541%
Omar,7474,136,1.820%
Omari,1406,13,0.925%
Ori,231,11,4.762%
Orion,2879,10,0.347%
Orlando,2090,10,0.478%
Oscar,9109,168,1.844%
Otto,1258,16,1.272%
Oumar,122,14,11.475%
Oumou,125,40,32.000%
Ousmane,90,13,14.444%
Owen,34922,249,0.713%
Pablo,3180,37,1.164%
Paige,10690,108,1.010%
Pamela,869,13,1.496%
Paris,4925,71,1.442%
Parker,26437,58,0.219%
Patrick,10909,75,0.688%
Paul,8025,67,0.835%
Paula,1280,10,0.781%
Payton,13293,17,0.128%
Pearl,1576,54,3.426%
Pedro,3890,36,0.925%
Penelope,13736,255,1.856%
Perel,130,19,14.615%
Perl,71,13,18.310%
Perry,804,13,1.617%
Pessy,170,29,17.059%
Peter,7437,82,1.103%
Peyton,26142,146,0.558%
Philip,2965,51,1.720%
Phoebe,4224,40,0.947%
Phoenix,5400,22,0.407%
Pinchas,118,26,22.034%
Pinchus,64,11,17.188%
Piper,12840,19,0.148%
Poppy,727,25,3.439%
Precious,632,10,1.582%
Preston,11372,79,0.695%
Prince,2519,101,4.010%
Princeton,1437,12,0.835%
Priscilla,2505,10,0.399%
Queena,93,11,11.828%
Queenie,164,12,7.317%
Quincy,2168,15,0.692%
Quinn,12838,70,0.545%
Rachel,9412,306,3.251%
Rafael,4902,97,1.979%
Raina,1251,12,0.959%
Raizel,203,30,14.778%
Raizy,364,149,40.934%
Randy,2715,48,1.768%
Raphael,1617,51,3.154%
Raquel,1712,10,0.584%
Raul,2994,22,0.735%
Rayan,1655,50,3.021%
Raymond,5696,112,1.966%
Rayyan,652,24,3.681%
Reagan,12483,15,0.120%
Rebecca,7657,129,1.685%
Reed,3848,11,0.286%
Reese,10627,18,0.169%
Rehan,269,24,8.922%
Reid,5239,15,0.286%
Reizy,15,10,66.667%
Rena,284,11,3.873%
Renee,1185,10,0.844%
Reuben,913,11,1.205%
Rhys,2384,10,0.419%
Ricardo,6075,19,0.313%
Richard,11814,117,0.990%
Ricky,2263,23,1.016%
Rifky,63,23,36.508%
Rihanna,1168,14,1.199%
Riley,30832,202,0.655%
Rivka,1073,220,20.503%
Rivky,287,112,39.024%
Riya,1041,14,1.345%
Robert,27159,260,0.957%
Roberto,4113,37,0.900%
Rocco,2735,26,0.951%
Rochel,380,70,18.421%
Rodrigo,2569,12,0.467%
Rohan,1692,35,2.069%
Roiza,40,10,25.000%
Roizy,71,13,18.310%
Roman,11378,81,0.712%
Romeo,3719,14,0.376%
Romy,246,10,4.065%
Ronan,2728,31,1.136%
Rory,3472,21,0.605%
Rosa,1836,10,0.545%
Rose,5433,142,2.614%
Rowan,7618,39,0.512%
Roy,1927,38,1.972%
Ruben,3704,11,0.297%
Ruby,12368,121,0.978%
Ruchel,46,10,21.739%
Ruchy,88,14,15.909%
Ruth,3843,21,0.546%
Ryan,43296,430,0.993%
Ryder,15809,41,0.259%
Sabina,401,11,2.743%
Sabrina,4538,114,2.512%
Sadie,14652,100,0.683%
Safa,349,11,3.152%
Sage,4070,10,0.246%
Saige,1539,11,0.715%
Salma,1297,10,0.771%
Salome,335,11,3.284%
Salvatore,942,47,4.989%
Sam,2086,68,3.260%
Samantha,26488,316,1.193%
Samara,1976,34,1.721%
Samir,1234,24,1.945%
Samira,879,10,1.138%
Samuel,44712,405,0.906%
Sanaa,945,28,2.963%
Sanai,709,29,4.090%
Saniyah,1511,11,0.728%
Santiago,12562,103,0.820%
Santino,1553,14,0.901%
Sara,8664,58,0.669%
Sarah,20046,484,2.414%
Sarai,2890,73,2.526%
Sariah,1717,25,1.456%
Sarina,711,11,1.547%
Sasha,2888,24,0.831%
Saul,2714,16,0.590%
Savannah,21269,191,0.898%
Savion,510,10,1.961%
Sawyer,14204,42,0.296%
Scarlet,3307,21,0.635%
Scarlett,18614,288,1.547%
Sean,10278,158,1.537%
Sebastian,30066,654,2.175%
Selena,3907,53,1.357%
Selina,925,41,4.432%
Serena,2829,50,1.767%
Serenity,16793,134,0.798%
Sergio,4728,33,0.698%
Seth,6977,10,0.143%
Shaina,310,37,11.935%
Shaindel,138,28,20.290%
Shaindy,332,58,17.470%
Shalom,438,24,5.479%
Shane,5845,47,0.804%
Shania,843,11,1.305%
Sharon,1277,33,2.584%
Shawn,4926,38,0.771%
Shaya,291,21,7.216%
Shayan,265,10,3.774%
Shayla,1839,11,0.598%
Shayna,570,12,2.105%
Shea,1231,13,1.056%
Sherlyn,1474,48,3.256%
Shia,505,69,13.663%
Shifra,164,17,10.366%
Shiloh,2513,10,0.398%
Shimon,650,95,14.615%
Shira,358,20,5.587%
Shirley,737,47,6.377%
Shloime,69,25,36.232%
Shloimy,74,26,35.135%
Shlome,94,38,40.426%
Shlomo,588,121,20.578%
Shmiel,121,37,30.579%
Shmuel,631,55,8.716%
Shneur,77,11,14.286%
Sholom,155,35,22.581%
Shoshana,412,32,7.767%
Shraga,81,20,24.691%
Shreya,729,10,1.372%
Shulem,211,35,16.588%
Siena,1739,29,1.668%
Sienna,5207,91,1.748%
Silas,10900,22,0.202%
Sima,183,26,14.208%
Simcha,238,53,22.269%
Simon,6015,105,1.746%
Simone,1696,42,2.476%
Sincere,1772,36,2.032%
Skye,3140,17,0.541%
Skyla,2290,51,2.227%
Skylah,588,34,5.782%
Skylar,15819,126,0.797%
Skyler,7886,42,0.533%
Sloane,2880,49,1.701%
Sofia,33845,446,1.318%
Solomon,2751,86,3.126%
Sophia,83803,232,0.277%
Sophie,16399,240,1.464%
Spencer,6694,44,0.657%
Stanley,1382,40,2.894%
Stella,15763,190,1.205%
Stephanie,7328,85,1.160%
Stephen,6011,12,0.200%
Steve,1124,12,1.068%
Steven,12080,267,2.210%
Summer,7085,91,1.284%
Sunny,990,10,1.010%
Suri,840,26,3.095%
Sury,213,27,12.676%
Sydney,13632,112,0.822%
Syed,564,43,7.624%
Syeda,213,27,12.676%
Sylvia,2325,33,1.419%
Sylvie,754,10,1.326%
Talia,3447,106,3.075%
Tamar,436,22,5.046%
Tamia,1101,14,1.272%
Tatiana,2410,12,0.498%
Taylor,21235,201,0.947%
Tenzin,518,106,20.463%
Tess,1018,11,1.081%
Tessa,5573,25,0.449%
Thea,904,11,1.217%
Theo,1430,26,1.818%
Theodore,9111,176,1.932%
Thiago,1785,75,4.202%
Thomas,27480,278,1.012%
Tiana,2620,23,0.878%
Tianna,903,13,1.440%
Tiffany,3187,90,2.824%
Timothy,12341,95,0.770%
Tina,648,13,2.006%
Toby,1867,46,2.464%
Tomas,1462,18,1.231%
Tony,2657,26,0.979%
Tori,1688,18,1.066%
Tova,194,15,7.732%
Trany,39,22,56.410%
Travis,6742,23,0.341%
Trinity,12630,62,0.491%
Tristan,17327,186,1.073%
Tyler,29599,361,1.220%
Tzipora,138,30,21.739%
Tziporah,121,12,9.917%
Tzvi,449,97,21.604%
Uriel,2340,18,0.769%
Usher,174,45,25.862%
Valentina,9249,329,3.557%
Valentino,1200,12,1.000%
Valeria,8387,72,0.858%
Valerie,7559,79,1.045%
Valery,852,27,3.169%
Vanessa,9184,89,0.969%
Vera,2785,12,0.431%
Veronica,3948,20,0.507%
Vicky,347,35,10.086%
Victor,11162,182,1.631%
Victoria,28897,505,1.748%
Vihaan,1497,17,1.136%
Vincent,15102,207,1.371%
Vincenzo,1165,11,0.944%
Violet,14254,155,1.087%
Violeta,843,12,1.423%
Vivian,9977,189,1.894%
Vivienne,4230,36,0.851%
Walter,3507,23,0.656%
Wendy,1528,31,2.029%
Wesley,11184,57,0.510%
Weston,9460,11,0.116%
Willa,1610,44,2.733%
William,67499,246,0.364%
Wilson,1690,39,2.308%
Winnie,431,11,2.552%
Winston,1608,37,2.301%
Winter,1674,16,0.956%
Wolf,150,24,16.000%
Wyatt,33276,75,0.225%
Wynter,958,25,2.610%
Xander,6949,12,0.173%
Xavier,20492,320,1.562%
Ximena,7210,45,0.624%
Yaakov,629,108,17.170%
Yadiel,798,35,4.386%
Yael,1315,31,2.357%
Yahir,2209,36,1.630%
Yahya,633,11,1.738%
Yakov,396,106,26.768%
Yamileth,1290,12,0.930%
Yandel,813,15,1.845%
Yanky,28,12,42.857%
Yaretzi,3830,57,1.488%
